Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Carr, Hon. Jim",Winnipeg South Centre,Liberal,54240.01,6725.88,101.88,23002.64,2021,2
"Carrie, Colin",Oshawa,Conservative,65000.96,5021.2,0.0,34957.42,2021,2
"Casey, Sean",Charlottetown,Liberal,73387.15,5366.09,228.6,17509.34,2021,2
"Chabot, Louise",Thérèse-De Blainville,Bloc Québécois,54699.3,2060.59,380.7,28761.64,2021,2
"Chagger, Hon. Bardish",Waterloo,Liberal,53552.6,10909.35,0.0,20244.1,2021,2
"Champagne, Hon. François-Philippe",Saint-Maurice—Champlain,Liberal,74119.86,5929.72,0.0,18933.95,2021,2
"Champoux, Martin",Drummond,Bloc Québécois,59775.83,11390.6,2227.42,26831.15,2021,2
"Charbonneau, Louise",Trois-Rivières,Bloc Québécois,78388.16,9705.13,130.99,21743.89,2021,2
"Chen, Shaun",Scarborough North,Liberal,67292.95,0.0,0.0,16014.92,2021,2
"Chiu, Kenny",Steveston—Richmond East,Conservative,48902.26,16654.84,182.94,25596.98,2021,2
"Chong, Hon. Michael",Wellington—Halton Hills,Conservative,71796.4,7047.72,0.0,15492.29,2021,2
"Collins, Laurel",Victoria,New Democratic Party,75453.55,4890.78,0.0,27792.89,2021,2
"Cooper, Michael",St. Albert—Edmonton,Conservative,83714.87,12760.72,251.46,30338.37,2021,2
"Cormier, Serge",Acadie—Bathurst,Liberal,79960.16,248.9,152.8,16952.36,2021,2
"Cumming, James",Edmonton Centre,Conservative,74782.16,8296.13,0.0,18784.15,2021,2
"Dabrusin, Julie",Toronto—Danforth,Liberal,79977.06,0.0,139.5,21772.32,2021,2
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,60631.51,15354.28,127.83,19607.16,2021,2
"Damoff, Pam",Oakville North—Burlington,Liberal,88967.83,8578.73,75.0,14998.57,2021,2
"Dancho, Raquel",Kildonan—St. Paul,Conservative,66375.29,10496.84,656.08,41251.25,2021,2
"Davidson, Scot",York—Simcoe,Conservative,57518.3,13766.76,4327.19,26210.15,2021,2
"Davies, Don",Vancouver Kingsway,New Democratic Party,74129.74,9159.77,180.97,42551.08,2021,2
"DeBellefeuille, Claude",Salaberry—Suroît,Bloc Québécois,68302.33,8197.4,1149.66,41076.82,2021,2
"Deltell, Gérard",Louis-Saint-Laurent,Conservative,72013.03,7892.89,1200.0,22849.75,2021,2
"d'Entremont, Chris",West Nova,Conservative,57596.0,6000.0,0.0,23270.0,2021,2
"Desbiens, Caroline",Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,67408.66,2947.18,164.93,35287.09,2021,2
"Desilets, Luc",Rivière-des-Mille-Îles,Bloc Québécois,68052.97,8968.71,465.69,30072.68,2021,2
"Dhaliwal, Sukh",Surrey—Newton,Liberal,58889.32,10397.6,321.47,30144.9,2021,2
"Dhillon, Anju",Dorval—Lachine—LaSalle,Liberal,70687.14,9724.44,0.0,24772.42,2021,2
"Diotte, Kerry",Edmonton Griesbach,Conservative,61020.07,9544.43,43.63,10613.0,2021,2
"Doherty, Todd",Cariboo—Prince George,Conservative,82183.46,35216.04,240.3,7061.11,2021,2
"Dong, Han",Don Valley North,Liberal,67116.49,6222.0,5849.85,20803.08,2021,2
"Donnelly, Fin",Port Moody—Coquitlam,New Democratic Party,0.0,0.0,0.0,432.28,2021,2
"Dowdall, Terry",Simcoe—Grey,Conservative,61350.73,5588.86,0.0,27933.41,2021,2
"Dreeshen, Earl",Red Deer—Mountain View,Conservative,66214.31,9095.98,405.3,24973.22,2021,2
"Drouin, Francis",Glengarry—Prescott—Russell,Liberal,83575.68,3424.13,308.34,35138.02,2021,2
"Dubourg, Emmanuel",Bourassa,Liberal,74022.5,5678.47,103.95,25489.87,2021,2
"Duclos, Hon. Jean-Yves",Québec,Liberal,80627.69,11635.72,236.0,29714.63,2021,2
"Duguid, Terry",Winnipeg South,Liberal,66569.76,9475.72,0.0,27355.9,2021,2
"Duncan, Eric",Stormont—Dundas—South Glengarry,Conservative,65001.26,8250.9,579.83,22758.91,2021,2
"Duncan, Hon. Kirsty",Etobicoke North,Liberal,62876.03,0.0,0.0,15389.78,2021,2
"Duvall, Scott",Hamilton Mountain,New Democratic Party,78934.59,11425.26,82.9,20174.19,2021,2
"Dzerowicz, Julie",Davenport,Liberal,75928.33,4660.0,90.97,27110.81,2021,2
"Easter, Hon. Wayne",Malpeque,Liberal,88232.23,783.69,312.11,10505.13,2021,2
"Ehsassi, Ali",Willowdale,Liberal,63067.38,0.0,1850.0,29414.93,2021,2
"El-Khoury, Fayçal",Laval—Les Îles,Liberal,60397.86,6860.8,158.62,41794.87,2021,2
"Ellis, Neil",Bay of Quinte,Liberal,75865.42,8696.99,113.14,20753.81,2021,2
"Epp, Dave",Chatham-Kent—Leamington,Conservative,56533.85,17122.43,210.0,25609.94,2021,2
"Erskine-Smith, Nathaniel",Beaches—East York,Liberal,78531.4,4679.18,333.15,18526.2,2021,2
"Falk, Rosemarie",Battlefords—Lloydminster,Conservative,69920.02,10395.13,102.97,15612.51,2021,2
"Falk, Ted",Provencher,Conservative,58667.18,6933.34,549.92,15082.07,2021,2
"Fast, Hon. Ed",Abbotsford,Conservative,82125.06,7311.53,511.61,12794.39,2021,2
"Fergus, Greg",Hull—Aylmer,Liberal,55486.37,600.46,359.12,39006.57,2021,2
"Fillmore, Andy",Halifax,Liberal,66938.75,6235.6,340.0,20069.25,2021,2
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,77800.43,17517.02,109.7,37508.7,2021,2
"Finley, Hon. Diane",Haldimand—Norfolk,Conservative,86997.4,10140.52,117.53,22114.14,2021,2
"Finnigan, Pat",Miramichi—Grand Lake,Liberal,56529.55,7072.52,127.45,26052.84,2021,2
"Fisher, Darren",Dartmouth—Cole Harbour,Liberal,59538.16,5250.0,187.85,18548.59,2021,2
